CodigoSucursal,CodigoFuerza,CodigoModoAtencion,CodigoRuta,CodigoCliente,FechaDesde,FechaHasta
1,1,PRE,113,6105,2001/01/01,31/12/8999
1,1,PRE,91,6110,2001/01/01,31/12/8999
1,1,PRE,87,6170,2001/01/01,31/12/8999
1,1,PRE,105,6177,2001/01/01,31/12/8999
1,1,PRE,95,6234,2001/01/01,31/12/8999
1,1,PRE,110,6272,2001/01/01,31/12/8999
1,1,PRE,100,6280,2001/01/01,31/12/8999
1,1,PRE,110,6282,2001/01/01,31/12/8999
1,1,PRE,119,6291,2001/01/01,31/12/8999
1,1,PRE,73,6326,2001/01/01,31/12/8999
1,1,PRE,95,6341,2001/01/01,31/12/8999
1,1,PRE,87,6357,2001/01/01,31/12/8999
1,1,PRE,96,6366,2001/01/01,31/12/8999
1,1,PRE,110,6379,2001/01/01,31/12/8999
1,1,PRE,100,6407,2001/01/01,31/12/8999
1,1,PRE,88,6408,2001/01/01,31/12/8999
1,1,PRE,107,6414,2001/01/01,31/12/8999
1,1,PRE,107,6424,2001/01/01,31/12/8999
1,1,PRE,90,6439,2001/01/01,31/12/8999
1,1,PRE,88,6495,2001/01/01,31/12/8999
1,1,PRE,107,6504,2001/01/01,31/12/8999
1,1,PRE,110,6511,2001/01/01,31/12/8999
1,1,PRE,113,6564,2001/01/01,31/12/8999
1,1,PRE,113,6598,2001/01/01,31/12/8999
1,1,PRE,90,6607,2001/01/01,31/12/8999
1,1,PRE,119,6611,2001/01/01,31/12/8999
1,1,PRE,94,6643,2001/01/01,31/12/8999
1,1,PRE,100,6717,2001/01/01,31/12/8999
1,1,PRE,43,6732,2001/01/01,31/12/8999
1,1,PRE,96,6744,2001/01/01,31/12/8999
1,1,PRE,110,6758,2001/01/01,31/12/8999
1,1,PRE,90,6762,2001/01/01,31/12/8999
1,1,PRE,90,6772,2001/01/01,31/12/8999
1,1,PRE,126,6809,2001/01/01,31/12/8999
1,1,PRE,102,6814,2001/01/01,31/12/8999
1,1,PRE,102,6817,2001/01/01,31/12/8999
1,1,PRE,100,6830,2001/01/01,31/12/8999
1,1,PRE,110,6832,2001/01/01,31/12/8999
1,1,PRE,95,6849,2001/01/01,31/12/8999
1,1,PRE,111,6858,2001/01/01,31/12/8999
1,1,PRE,28,6887,2001/01/01,31/12/8999
1,1,PRE,120,6914,2001/01/01,31/12/8999
1,1,PRE,91,6963,2001/01/01,31/12/8999
1,1,PRE,95,6983,2001/01/01,31/12/8999
1,1,PRE,43,6999,2001/01/01,31/12/8999
1,1,PRE,28,7006,2001/01/01,31/12/8999
1,1,PRE,88,7025,2001/01/01,31/12/8999
1,1,PRE,90,7039,2001/01/01,31/12/8999
1,1,PRE,94,7059,2001/01/01,31/12/8999
1,1,PRE,28,7062,2001/01/01,31/12/8999
1,1,PRE,88,7079,2001/01/01,31/12/8999
1,1,PRE,87,7080,2001/01/01,31/12/8999
1,1,PRE,73,7100,2001/01/01,31/12/8999
1,1,PRE,118,7125,2001/01/01,31/12/8999
1,1,PRE,90,7144,2001/01/01,31/12/8999
1,1,PRE,87,7182,2001/01/01,31/12/8999
1,1,PRE,95,7188,2001/01/01,31/12/8999
1,1,PRE,102,7189,2001/01/01,31/12/8999
